fault_id,fault_val,ai_time_ms,vanilla_time_ms,vanilla_backtracks
251,D,2.87628173828125,7.996320724487305,0
252,D,2.876758575439453,7.973432540893555,0
574,DB,18.045425415039062,18.16082000732422,0
586,DB,16.748666763305664,17.047882080078125,0
592,DB,16.146183013916016,15.56539535522461,0
601,D,21.279335021972656,20.788192749023438,0
602,D,21.067380905151367,20.696401596069336,0
603,D,9.938716888427734,9.190797805786133,0
643,DB,13.36359977722168,13.43989372253418,0
655,DB,13.961076736450195,13.983964920043945,0
682,D,2.1126270294189453,8.089303970336914,0
685,D,2.111673355102539,8.017778396606445,0
724,DB,15.280008316040039,14.60123062133789,0
886,DB,8.266448974609375,8.131980895996094,0
887,DB,8.221149444580078,8.211374282836914,0
893,D,13.386249542236328,13.27657699584961,0
896,D,14.057159423828125,13.934850692749023,0
897,DB,16.849040985107422,16.69621467590332,0
898,DB,14.554977416992188,13.61393928527832,0
899,D,20.85137367248535,19.96135711669922,0
903,D,10.094165802001953,19.90985870361328,0
907,D,8.743047714233398,7.8945159912109375,0
910,D,8.746623992919922,7.886171340942383,0
959,DB,18.202543258666992,18.213748931884766,0
962,DB,8039.443254470825,20.350933074951172,0
973,DB,8056.63800239563,20.494461059570312,0
977,DB,16.927480697631836,16.918182373046875,0
981,DB,16.469240188598633,15.504121780395508,0
985,DB,20.88642120361328,19.815921783447266,0
991,D,15.300989151000977,14.464616775512695,0
1067,D,14.022350311279297,13.817787170410156,0
1122,D,15.271425247192383,14.434576034545898,0
1155,D,8018.979787826538,20.221471786499023,0
1157,D,16.963958740234375,16.93892478942871,0
1159,D,20.828723907470703,20.023345947265625,0
1160,D,21.33655548095703,19.860267639160156,0
1163,DB,8047.9254722595215,3253.911256790161,2001
1164,D,9.408235549926758,20.712852478027344,0
1167,DB,8011.171817779541,3216.355323791504,2001
1168,D,20.97344398498535,20.485877990722656,0
1206,D,17.37523078918457,16.19553565979004,0
1208,D,14.240026473999023,13.418436050415039,0
1210,D,14.228343963623047,13.382434844970703,0
1212,D,16.338109970092773,15.572309494018555,0
1214,D,18.877267837524414,18.08786392211914,0
1216,D,17.058134078979492,16.416549682617188,0
1218,D,18.032312393188477,18.03898811340332,0
1221,D,21.268367767333984,33.069610595703125,0
1224,D,17.145872116088867,18.617630004882812,0
1226,D,21.227359771728516,20.590782165527344,0
1227,D,8058.973550796509,21.145343780517578,0
1229,D,17.57049560546875,17.29607582092285,0
1230,D,16.145706176757812,20.555973052978516,0
1231,D,16.152381896972656,15.769004821777344,0
1235,D,18.021583557128906,9.427070617675781,0
1239,D,15.029668807983398,14.674186706542969,0
1242,D,9.44209098815918,8.751153945922852,0
1252,D,9.315252304077148,9.18126106262207,0
1255,D,8.655309677124023,7.851600646972656,0
1258,D,9.868144989013672,9.057998657226562,0
1261,D,8.64267349243164,7.766008377075195,0
1348,DB,8.667707443237305,7.819652557373047,0
1349,DB,9.391069412231445,9.113788604736328,0
1350,DB,8.75401496887207,7.730007171630859,0
1351,DB,10.054826736450195,9.07754898071289,0
1388,DB,18.42498779296875,9.37342643737793,0
1389,D,19.359350204467773,14.290571212768555,0
1389,DB,17.961978912353516,9.33384895324707,0
1443,D,18.648386001586914,13.330698013305664,0
1445,D,21.187305450439453,16.24011993408203,0
1447,D,18.76521110534668,13.372421264648438,0
1451,D,21.31819725036621,15.554189682006836,0
1453,D,21.037817001342773,16.17741584777832,0
1455,D,23.036956787109375,18.149375915527344,0
1457,D,21.54088020324707,16.268491744995117,0
1459,DB,20.217180252075195,17.085790634155273,0
1462,D,13.498067855834961,8.86988639831543,0
1469,D,24.655818939208984,20.398855209350586,0
1471,DB,8094.777584075928,20.931005477905273,0
1476,D,19.794940948486328,15.109062194824219,0
1496,D,22.573232650756836,17.284631729125977,0
1501,D,8104.38346862793,20.28179168701172,0
1527,D,24.701833724975586,16.55125617980957,0
1534,D,29.96087074279785,20.116806030273438,0
