fault_index,gate_id,fault_val,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,classic_backtrace_count,classic_backtrace_hops,classic_time_s
4275,16789,4,True,1,0,24,0,223,0.599264
4276,16791,3,True,1,0,5,0,8,0.142736
4277,16793,3,True,1,0,5,0,8,0.141517
4278,16795,3,True,1,0,5,0,8,0.129188
4279,16796,3,True,1,0,5,0,8,0.135465
4280,16797,3,True,1,0,5,0,8,0.133026
4281,16797,4,True,1,0,24,0,223,0.409933
4282,16798,3,True,1,0,5,0,8,0.067407
4283,16800,3,True,1,0,5,0,8,0.066461
4284,16803,3,True,1,0,5,0,8,0.063687
4285,16805,4,True,1,0,24,0,223,0.271575
4286,16806,4,True,1,0,24,0,223,0.262811
4287,16810,3,True,1,0,5,0,8,0.064272
4288,16811,3,True,1,0,5,0,8,0.064266
4289,16811,4,True,1,0,24,0,223,0.26579
4290,16813,4,True,1,0,24,0,223,0.266248
4291,16817,3,True,1,0,5,0,8,0.065111
4292,16818,3,True,1,0,5,0,8,0.062541
4293,16819,3,True,1,0,5,0,8,0.062755
4294,16820,3,True,1,0,5,0,8,0.064066
4295,16821,3,True,1,0,5,0,8,0.077149
4296,16823,4,True,1,0,21,0,210,0.235277
4297,16825,3,True,1,0,5,0,8,0.065179
4298,16826,4,True,1,0,21,0,210,0.238434
4299,16831,4,True,1,0,21,0,210,0.233151
4300,16837,3,True,1,0,5,0,8,0.063043
4301,16839,3,True,1,0,5,0,8,0.064795
4302,16839,4,True,1,0,21,0,210,0.23011
4303,16846,4,True,1,0,21,0,210,0.231481
4304,16847,4,True,1,0,21,0,210,0.226808
4305,16850,3,True,1,0,24,0,254,0.261804
4306,16859,4,True,1,55,131,0,1103,2.010743
4307,16866,3,True,1,0,20,0,199,0.213176
4308,16868,4,False,2,299,665,0,2694,10.017972
4309,16870,4,False,2,294,612,0,3786,10.006721
4310,16881,4,True,1,0,30,0,387,0.325735
4311,16882,4,True,1,0,29,0,371,0.327995
4312,16884,4,True,1,0,10,0,89,0.116128
4313,16885,3,False,2,307,640,0,4083,10.010668
4314,16886,3,False,2,288,652,0,3346,10.007609
4315,16887,3,False,2,300,677,0,2565,10.006916
4316,16887,4,True,1,0,22,0,146,0.236519
4317,16891,4,False,2,312,660,0,4401,10.020592
4318,16892,3,False,2,309,655,0,4688,10.009345
4319,16894,4,False,2,206,451,0,2770,10.145213
4320,16896,4,False,2,289,598,0,802,10.009064
4321,16899,3,True,1,4,34,0,285,0.635199
4322,16902,3,True,1,0,19,0,175,0.323696
4323,16902,4,True,1,0,39,0,305,0.46027
4324,16910,4,False,2,295,644,0,2744,10.00778
4325,16914,4,False,2,302,652,0,3527,10.00649
4326,16915,3,True,1,0,56,0,362,0.634949
4327,16915,4,True,1,0,21,0,187,0.242478
4328,16918,4,False,2,305,642,0,2971,10.076839
4329,16921,4,False,2,301,663,0,518,10.003797
4330,16923,4,False,2,295,642,0,2693,10.006196
4331,16925,4,True,1,0,29,0,282,0.318363
4332,16926,4,False,2,242,554,0,970,10.004451
4333,16928,3,False,2,281,621,0,2937,10.006563
