fault_index,original_fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,time_s,classic_timeout_time_s,classic_timeout_backtracks,classic_timeout_recursive_calls,ai_error
774,2253,11444,4,False,1,False,1,39,0.4402,0.0161,0.6448,10.3709,2,234,11.4756,10.002356,196,476,
775,2254,11446,4,False,1,False,1,69,0.4296,0.0157,0.6044,10.8869,2,251,11.9402,10.021943,210,504,
776,2255,11448,3,False,1,False,1,41,2.1797,0.0157,1.8248,10.3912,2,334,14.4157,10.029401,287,605,
777,2257,11451,3,False,1,False,1,27,2.2137,0.015,1.9675,10.18,2,196,14.3803,10.009048,313,662,
778,2264,11472,4,False,1,False,1,41,0.8858,0.0269,0.4105,10.9868,2,228,12.3184,10.004474,318,722,
779,2267,11475,4,False,1,False,1,42,1.4786,0.0154,1.5668,10.5664,2,328,13.6323,10.007974,304,656,
780,2268,11476,4,False,1,False,1,42,0.7784,0.016,0.7128,10.5862,2,333,12.0987,10.006981,318,677,
781,2315,11658,3,False,1,False,1,29,2.3475,0.0161,2.3227,10.2359,2,299,14.9266,10.014928,156,347,
782,2317,11661,3,False,1,False,1,34,2.2984,0.0154,2.5862,10.3045,2,273,15.2087,10.026536,118,358,
783,2319,11664,3,False,1,False,1,28,2.6081,0.0158,2.2831,10.2241,2,310,15.1353,10.016362,118,365,
784,2320,11669,3,False,1,False,1,47,2.2503,0.0159,2.2721,10.501,2,281,15.0436,10.037473,136,346,
785,2321,11670,3,False,1,False,1,46,2.9202,0.0153,3.0612,10.6513,2,329,16.6528,10.003669,236,517,
786,2322,11670,4,False,1,False,1,64,2.1776,0.0164,2.6066,10.9673,2,234,15.7709,10.002112,308,686,
787,2323,11671,4,False,1,False,1,62,5.1754,0.0258,3.2076,11.568,2,331,19.9834,10.009566,319,699,
788,2324,11673,4,False,1,False,1,57,2.1841,0.0158,3.142,10.873,2,180,16.219,10.010059,317,686,
789,2325,11675,3,False,1,False,1,26,4.2333,0.0154,2.2425,10.205,2,305,16.7004,10.000241,264,660,
790,2328,11687,4,False,1,False,1,35,2.4084,0.0154,2.5159,10.3159,2,332,15.2606,10.024889,261,552,
791,2329,11690,4,False,1,False,1,29,2.5237,0.0156,2.6043,10.2411,2,321,15.39,10.019052,211,459,
792,2330,11692,4,False,1,False,1,32,2.5329,0.0159,2.5771,10.2943,2,319,15.4252,10.002998,334,700,
793,2331,11693,4,False,1,False,1,39,2.5541,0.0155,2.585,10.3849,2,334,15.5461,10.00144,333,698,
794,2341,11714,3,False,1,False,1,24,4.4384,0.0155,4.4071,10.2763,2,293,19.1408,10.012002,312,719,
