rank,fault_index,gate_id,fault_val,classic_backtracks,classic_time_s,ai_time_s,classic_ok,precheck_success,attempts_used
267,5018,25007,4,12,1.0265,1.8731,True,False,1
268,5965,29760,4,11,1.8135,1.8589,True,False,1
269,2805,13828,3,11,1.7304,2.2713,True,False,1
270,3569,17518,4,11,1.216,1.3093,True,False,1
271,1349,6556,4,11,1.195,1.1829,True,False,1
272,1347,6548,4,11,1.1812,1.2383,True,False,1
273,3191,15620,4,11,1.1629,1.2204,True,False,1
274,2299,11447,4,11,1.1601,1.2522,True,False,1
275,3570,17534,4,11,1.1402,1.2259,True,False,1
276,1581,7668,4,11,1.1261,1.1503,True,False,1
277,4164,20690,3,11,0.9664,1.6693,True,False,1
278,4667,23195,3,10,1.4502,2.2183,True,False,1
279,1794,8724,3,10,1.4294,1.5469,True,False,1
280,1951,9520,3,10,1.4271,0.9734,True,False,1
281,1775,8626,3,10,1.4138,1.4347,True,False,1
282,1594,7749,3,10,1.4128,1.5375,True,False,1
283,1969,9640,4,10,1.4118,2.4917,True,False,1
284,1769,8601,3,10,1.4113,0.5288,True,False,1
285,1955,9552,3,10,1.3962,0.6222,True,False,1
286,1777,8641,3,10,1.3865,1.471,True,False,1
287,5595,27895,3,10,1.1951,1.2376,True,False,1
288,3817,18863,3,10,1.1691,2.3454,True,False,1
289,1377,6687,4,10,0.8103,0.2461,True,False,1
290,5510,27474,4,9,1.7172,1.8284,True,False,1
291,3748,18516,4,9,1.2169,2.5033,True,False,1
292,5480,27278,4,9,0.9194,2.0001,True,False,1
293,4436,22033,3,9,0.8692,1.5681,True,False,1
294,5016,24995,3,9,0.7831,1.587,True,False,1
295,4251,21143,3,9,0.7379,1.4727,True,False,1
296,5904,29411,4,8,1.7842,1.8264,True,False,1
297,2200,10912,3,8,1.7025,1.7844,True,False,1
298,2358,11700,3,8,1.6579,1.8853,True,False,1
299,2184,10809,3,8,1.653,1.9989,True,False,1
300,1880,9183,4,8,1.3285,1.3658,True,False,1
301,347,1711,3,8,1.1227,1.1625,True,False,1
302,2374,11773,3,8,0.9789,2.3422,True,False,1
303,1596,7751,3,8,0.9292,0.9785,True,False,1
304,5133,25546,3,8,0.7846,1.2231,True,False,1
305,4249,21137,3,8,0.7256,1.8414,True,False,1
306,4515,22442,3,8,0.724,1.6144,True,False,1
307,5131,25545,3,8,0.7237,2.3977,True,False,1
308,373,1832,4,7,1.5206,1.5246,True,False,1
309,1879,9178,3,7,1.514,1.6688,True,False,1
310,3304,16183,3,7,1.2168,1.4015,True,False,1
311,2349,11655,3,7,0.8149,3.4466,True,False,1
312,7,35,4,7,0.7498,0.7311,True,False,1
313,5134,25551,3,7,0.721,1.1318,True,False,1
314,4339,21615,4,7,0.7112,1.4547,True,False,1
315,5135,25552,3,7,0.6567,1.4896,True,False,1
