fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
372,4448,3,False,1,False,1,14,0.0118,0.0656,0.0,0.4096,0,0,True,1,60,143,,strict no-fallback: direct AI assignment did not detect fault,4.5466,4.0519
373,4448,4,False,1,False,1,14,0.0117,0.0652,0.0,0.4113,0,0,True,1,47,117,,strict no-fallback: direct AI assignment did not detect fault,3.7748,3.279
374,4452,3,False,1,False,1,23,0.0153,0.064,0.0,0.6704,0,0,True,1,0,38,,strict no-fallback: direct AI assignment did not detect fault,1.5146,0.7569
375,4452,4,False,1,False,1,23,0.016,0.0641,0.0,0.6577,0,0,True,1,0,37,,strict no-fallback: direct AI assignment did not detect fault,1.4743,0.7285
376,4454,3,True,1,True,1,23,0.0105,0.0624,0.0,0.6879,1,0,True,1,0,24,,,1.2426,0.4735
377,4454,4,True,1,True,1,23,0.0109,0.0636,0.0,0.6946,1,0,True,1,0,24,,,1.2541,0.477
378,4456,3,False,1,False,1,22,0.0115,0.0645,0.0,0.6619,0,0,True,1,0,37,,strict no-fallback: direct AI assignment did not detect fault,1.4812,0.7357
379,4456,4,False,1,False,1,22,0.0114,0.0644,0.0,0.6621,0,0,True,1,0,37,,strict no-fallback: direct AI assignment did not detect fault,1.4779,0.732
380,4458,3,True,1,True,1,23,0.0101,0.064,0.0,0.69,1,0,True,1,0,24,,,1.2537,0.4819
381,4458,4,True,1,True,1,24,0.0103,0.0651,0.0,0.6961,1,0,True,1,0,24,,,1.2524,0.4728
382,4472,3,True,1,True,1,8,0.0115,0.0666,0.0,0.2185,1,0,True,1,0,8,,,0.4692,0.1645
383,4472,4,True,1,True,1,7,0.0119,0.0652,0.0,0.1902,1,0,True,1,0,8,,,0.4355,0.1602
384,4474,3,True,1,True,1,8,0.0108,0.0642,0.0,0.2209,1,0,True,1,0,9,,,0.4841,0.1798
385,4474,4,True,1,True,1,10,0.0107,0.0629,0.0,0.2483,1,0,True,1,0,8,,,0.4837,0.1532
386,4476,3,True,1,True,1,8,0.0101,0.0638,0.0,0.2193,1,0,True,1,0,9,,,0.477,0.1762
387,4476,4,True,1,True,1,11,0.0103,0.0642,0.0,0.2524,1,0,True,1,0,8,,,0.4925,0.1577
388,4494,3,True,1,True,1,25,0.0111,0.0635,0.0,0.7534,1,0,True,1,0,26,,,1.3512,0.5149
389,4494,4,True,1,True,1,25,0.0123,0.0653,0.0,0.7521,1,0,True,1,0,26,,,1.3559,0.5182
