fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
2553,6575,4,False,1,False,1,75,0.0509,0.0663,0.0,2.3722,0,0,False,2,328,713,,strict no-fallback: direct AI assignment did not detect fault,22.4984,20.0016
2554,6584,3,True,1,True,1,20,0.0877,0.0649,0.0,0.5327,1,0,True,1,0,21,,,1.0969,0.4042
2555,6584,4,False,1,False,1,52,0.0519,0.0649,0.0,1.6437,0,0,False,2,329,711,,strict no-fallback: direct AI assignment did not detect fault,21.7963,20.0281
2556,6585,3,True,1,True,1,19,0.0804,0.0659,0.0,0.5079,1,0,True,1,0,20,,,1.0492,0.3873
2557,6585,4,True,1,True,1,27,0.1006,0.0653,0.0,0.8568,1,0,True,1,0,28,,,1.5966,0.5663
2558,6586,3,True,1,True,1,19,0.0746,0.0643,0.0,0.498,1,0,True,1,1,23,,,1.1116,0.4673
2559,6586,4,True,1,True,1,27,0.0926,0.0642,0.0,0.8507,1,0,True,1,0,28,,,1.5628,0.5479
2560,6587,3,True,1,True,1,19,0.1292,0.0332,0.0,0.5081,1,0,True,1,1,23,,,1.146,0.4676
2561,6587,4,True,1,True,1,27,0.0196,0.0651,0.0,0.8669,1,0,True,1,0,28,,,1.5127,0.5537
2562,6588,3,True,1,True,1,19,0.0615,0.0669,0.0,0.5444,1,0,True,1,0,20,,,1.0678,0.3872
2563,6588,4,True,1,True,1,21,0.0283,0.0667,0.0,0.6474,1,0,True,1,0,22,,,1.1754,0.425
2564,6590,3,True,1,True,1,22,0.0094,0.0651,0.0,0.6572,1,0,True,1,0,23,,,1.186,0.4465
2565,6590,4,False,1,False,1,23,0.0099,0.0665,0.0,0.6212,0,0,True,1,0,22,,strict no-fallback: direct AI assignment did not detect fault,1.1283,0.4233
2566,6591,3,True,1,True,1,19,0.0487,0.0649,0.0,0.5425,1,0,True,1,0,20,,,1.0549,0.3912
2567,6591,4,True,1,True,1,22,0.0321,0.0656,0.0,0.6371,1,0,True,1,0,20,,,1.129,0.3867
2568,6592,3,True,1,True,1,21,0.0205,0.0648,0.0,0.6046,1,0,True,1,0,19,,,1.0617,0.3643
2569,6592,4,True,1,True,1,20,0.0201,0.0682,0.0,0.5958,1,0,True,1,0,21,,,1.0882,0.3962
2570,6593,3,True,1,True,1,35,0.0307,0.0649,0.0,1.021,1,0,True,1,0,36,,,1.8371,0.7129
2571,6593,4,True,1,True,1,21,0.0309,0.0648,0.0,0.5374,1,0,True,1,0,22,,,1.063,0.4222
2572,6594,3,True,1,True,1,37,0.0319,0.0643,0.0,1.0862,1,0,True,1,0,38,,,1.9356,0.7449
2573,6594,4,True,1,True,1,20,0.0303,0.0638,0.0,0.4999,1,0,True,1,0,21,,,1.0197,0.4182
2574,6595,3,True,1,True,1,25,0.0298,0.0617,0.0,0.7051,1,0,True,1,0,26,,,1.3108,0.5066
2575,6595,4,True,1,True,1,14,0.0343,0.0652,0.0,0.3179,1,0,True,1,0,15,,,0.7174,0.2922
2576,6596,3,True,1,True,1,25,0.0318,0.0662,0.0,0.7173,1,0,True,1,0,26,,,1.3388,0.5157
2577,6596,4,True,1,True,1,14,0.0309,0.0658,0.0,0.3161,1,0,True,1,0,15,,,0.7254,0.3052
2578,6597,3,True,1,True,1,25,0.0313,0.066,0.0,0.7081,1,0,True,1,0,26,,,1.3263,0.5133
2579,6597,4,True,1,True,1,14,0.0302,0.0659,0.0,0.3181,1,0,True,1,0,15,,,0.7186,0.2966
2580,6598,3,True,1,True,1,34,0.0312,0.0666,0.0,1.0131,1,0,True,1,0,35,,,1.8242,0.7057
2581,6598,4,True,1,True,1,21,0.0316,0.0647,0.0,0.5377,1,0,True,1,0,24,,,1.1163,0.4749
2582,6599,3,True,1,True,1,35,0.0304,0.0656,0.0,1.0266,1,0,True,1,0,36,,,1.842,0.7116
2583,6599,4,True,1,True,1,21,0.0327,0.0664,0.0,0.5407,1,0,True,1,0,22,,,1.0705,0.4227
