fault_index,gate_id,fault_val,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,classic_backtrace_count,classic_backtrace_hops,classic_time_s,source_csv
226,5372,4,False,2,54,174,0,309,5.00703,classic_shard_0_1000_per_fault.csv
227,5373,4,True,1,0,21,0,156,0.483503,classic_shard_0_1000_per_fault.csv
228,5374,4,True,1,0,22,0,162,0.503658,classic_shard_0_1000_per_fault.csv
229,5382,3,True,1,0,38,0,274,0.876057,classic_shard_0_1000_per_fault.csv
230,5385,3,True,1,0,40,0,132,0.920445,classic_shard_0_1000_per_fault.csv
231,5386,3,True,1,0,40,0,135,0.927516,classic_shard_0_1000_per_fault.csv
232,5387,3,True,1,0,25,0,148,0.571708,classic_shard_0_1000_per_fault.csv
233,5390,4,True,1,0,16,0,54,0.370002,classic_shard_0_1000_per_fault.csv
234,5393,3,True,1,0,32,0,151,0.741108,classic_shard_0_1000_per_fault.csv
235,5394,4,False,2,54,174,0,300,5.005931,classic_shard_0_1000_per_fault.csv
236,5396,4,False,2,45,182,0,429,5.03741,classic_shard_0_1000_per_fault.csv
237,5398,4,False,2,50,177,0,626,5.009511,classic_shard_0_1000_per_fault.csv
238,5412,4,True,1,0,14,0,59,0.322199,classic_shard_0_1000_per_fault.csv
239,5414,4,True,1,3,29,0,141,0.728205,classic_shard_0_1000_per_fault.csv
240,5415,3,False,2,63,163,0,638,5.015251,classic_shard_0_1000_per_fault.csv
241,5415,4,False,2,45,182,0,429,5.034917,classic_shard_0_1000_per_fault.csv
242,5418,3,True,1,0,39,0,208,0.89968,classic_shard_0_1000_per_fault.csv
243,5419,3,True,1,0,38,0,272,0.876425,classic_shard_0_1000_per_fault.csv
244,5425,4,False,2,60,168,0,1240,5.098526,classic_shard_0_1000_per_fault.csv
245,5427,3,True,1,0,27,0,253,0.616199,classic_shard_0_1000_per_fault.csv
246,5430,4,True,1,0,31,0,230,0.712435,classic_shard_0_1000_per_fault.csv
247,5436,3,False,2,60,165,0,999,5.009882,classic_shard_0_1000_per_fault.csv
