fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
109,4053,4,True,1,True,1,21,0.0117,0.0643,0.0,0.6215,1,0,True,1,0,22,,,1.1429,0.4375
110,4056,3,True,1,True,1,19,0.02,0.0642,0.0,0.5688,1,0,True,1,0,20,,,1.0727,0.4117
111,4056,4,True,1,True,1,22,0.0202,0.0657,0.0,0.6952,1,0,True,1,0,23,,,1.243,0.4539
112,4059,3,True,1,True,1,20,0.0111,0.0655,0.0,0.6065,1,0,True,1,0,21,,,1.1228,0.4316
113,4059,4,True,1,True,1,19,0.011,0.0641,0.0,0.561,1,0,True,1,0,20,,,1.0439,0.3999
114,4061,3,False,1,False,1,13,0.0115,0.0682,0.0,0.3911,0,0,True,1,0,22,,strict no-fallback: direct AI assignment did not detect fault,0.9307,0.4517
115,4061,4,False,1,False,1,12,0.0119,0.0659,0.0,0.3484,0,0,True,1,0,21,,strict no-fallback: direct AI assignment did not detect fault,0.8693,0.4353
116,4064,3,True,1,True,1,21,0.0095,0.064,0.0,0.6256,1,0,True,1,0,22,,,1.1326,0.4259
117,4064,4,True,1,True,1,21,0.0099,0.0655,0.0,0.6319,1,0,True,1,0,22,,,1.1585,0.4433
118,4067,3,True,1,True,1,21,0.0099,0.0655,0.0,0.6241,1,0,True,1,0,22,,,1.1663,0.4591
119,4067,4,True,1,True,1,21,0.0098,0.0642,0.0,0.6277,1,0,True,1,0,22,,,1.1476,0.4382
120,4070,3,False,1,False,1,10,0.0095,0.0653,0.0,0.2873,0,0,True,1,3,30,,strict no-fallback: direct AI assignment did not detect fault,1.0447,0.6743
121,4070,4,False,1,False,1,10,0.0098,0.0647,0.0,0.287,0,0,True,1,3,30,,strict no-fallback: direct AI assignment did not detect fault,1.0235,0.6542
122,4073,3,False,1,False,1,10,0.0101,0.0677,0.0,0.2865,0,0,True,1,3,30,,strict no-fallback: direct AI assignment did not detect fault,1.0338,0.6615
123,4073,4,False,1,False,1,10,0.0098,0.0684,0.0,0.2949,0,0,True,1,3,30,,strict no-fallback: direct AI assignment did not detect fault,1.0651,0.6841
124,4076,3,False,1,False,1,10,0.0098,0.0647,0.0,0.2839,0,0,True,1,3,30,,strict no-fallback: direct AI assignment did not detect fault,1.0187,0.6526
125,4076,4,False,1,False,1,10,0.0101,0.0642,0.0,0.2866,0,0,True,1,3,30,,strict no-fallback: direct AI assignment did not detect fault,1.0365,0.6679
126,4079,3,False,1,False,1,10,0.0101,0.0671,0.0,0.2876,0,0,True,1,3,31,,strict no-fallback: direct AI assignment did not detect fault,1.075,0.7025
127,4079,4,False,1,False,1,10,0.0101,0.0647,0.0,0.2795,0,0,True,1,3,31,,strict no-fallback: direct AI assignment did not detect fault,1.0314,0.6694
128,4082,3,True,1,True,1,21,0.0096,0.0648,0.0,0.6354,1,0,True,1,0,22,,,1.1595,0.442
129,4082,4,True,1,True,1,21,0.0102,0.0672,0.0,0.6266,1,0,True,1,0,22,,,1.1577,0.4459
130,4085,3,True,1,True,1,21,0.0098,0.0651,0.0,0.6227,1,0,True,1,0,22,,,1.1272,0.4219
131,4085,4,True,1,True,1,21,0.0104,0.0654,0.0,0.638,1,0,True,1,0,22,,,1.1786,0.4571
132,4090,3,True,1,True,1,21,0.0115,0.0649,0.0,0.6314,1,0,True,1,0,22,,,1.167,0.4509
133,4090,4,True,1,True,1,21,0.0106,0.064,0.0,0.6316,1,0,True,1,0,22,,,1.1506,0.4369
134,4093,3,True,1,True,1,21,0.0109,0.0643,0.0,0.616,1,0,True,1,0,22,,,1.1756,0.4763
135,4093,4,True,1,True,1,21,0.0109,0.0656,0.0,0.624,1,0,True,1,0,22,,,1.1428,0.4344
136,4096,3,False,1,False,1,8,0.0104,0.0681,0.0,0.2237,0,0,True,1,1,26,,strict no-fallback: direct AI assignment did not detect fault,0.8802,0.5701
137,4096,4,False,1,False,1,8,0.0105,0.0643,0.0,0.2177,0,0,True,1,1,26,,strict no-fallback: direct AI assignment did not detect fault,0.8331,0.5329
138,4099,3,False,1,False,1,8,0.011,0.0638,0.0,0.2186,0,0,True,1,1,26,,strict no-fallback: direct AI assignment did not detect fault,0.8516,0.5504
139,4099,4,False,1,False,1,8,0.0103,0.0636,0.0,0.2223,0,0,True,1,1,26,,strict no-fallback: direct AI assignment did not detect fault,0.8426,0.5386
140,4102,3,False,1,False,1,8,0.0114,0.0643,0.0,0.2188,0,0,True,1,1,26,,strict no-fallback: direct AI assignment did not detect fault,0.8481,0.546
141,4102,4,False,1,False,1,8,0.0108,0.0665,0.0,0.2219,0,0,True,1,1,26,,strict no-fallback: direct AI assignment did not detect fault,0.8404,0.5331
142,4105,3,False,1,False,1,8,0.0104,0.0643,0.0,0.2218,0,0,True,1,1,27,,strict no-fallback: direct AI assignment did not detect fault,0.8792,0.5748
143,4105,4,False,1,False,1,8,0.0106,0.0656,0.0,0.222,0,0,True,1,1,27,,strict no-fallback: direct AI assignment did not detect fault,0.8682,0.5622
144,4108,3,True,1,True,1,21,0.0104,0.0639,0.0,0.6237,1,0,True,1,0,22,,,1.1376,0.4316
145,4108,4,True,1,True,1,21,0.0105,0.064,0.0,0.6341,1,0,True,1,0,22,,,1.1502,0.4334
146,4111,3,True,1,True,1,21,0.0104,0.0653,0.0,0.6321,1,0,True,1,0,22,,,1.1569,0.4414
147,4111,4,True,1,True,1,21,0.0112,0.0678,0.0,0.6232,1,0,True,1,0,22,,,1.1457,0.4357
148,4116,3,True,1,True,1,21,0.0102,0.0656,0.0,0.6183,1,0,True,1,0,22,,,1.1496,0.4473
149,4116,4,True,1,True,1,21,0.0106,0.0645,0.0,0.6297,1,0,True,1,0,22,,,1.1575,0.4451
150,4119,3,True,1,True,1,21,0.0105,0.0668,0.0,0.626,1,0,True,1,0,22,,,1.1698,0.4588
151,4119,4,True,1,True,1,21,0.0104,0.0654,0.0,0.6154,1,0,True,1,0,22,,,1.1565,0.4576
152,4122,3,True,1,True,1,21,0.0103,0.0644,0.0,0.6211,1,0,True,1,0,22,,,1.1504,0.4468
153,4122,4,True,1,True,1,21,0.0106,0.0652,0.0,0.6356,1,0,True,1,0,22,,,1.1719,0.4526
154,4125,3,True,1,True,1,21,0.0109,0.0661,0.0,0.6217,1,0,True,1,0,22,,,1.1595,0.4532
155,4125,4,True,1,True,1,21,0.0112,0.0642,0.0,0.6359,1,0,True,1,0,22,,,1.1716,0.4527
156,4128,3,True,1,True,1,21,0.0111,0.0645,0.0,0.6314,1,0,True,1,0,22,,,1.173,0.4584
157,4128,4,True,1,True,1,21,0.0105,0.0639,0.0,0.6314,1,0,True,1,0,22,,,1.1485,0.4351
158,4131,3,True,1,True,1,22,0.0106,0.0654,0.0,0.6603,1,0,True,1,0,23,,,1.2101,0.4656
159,4131,4,True,1,True,1,22,0.0115,0.07,0.0,0.6612,1,0,True,1,0,23,,,1.2304,0.48
160,4134,3,True,1,True,1,21,0.0109,0.0643,0.0,0.622,1,0,True,1,0,22,,,1.1358,0.4307
161,4134,4,True,1,True,1,21,0.0106,0.0652,0.0,0.6582,1,0,True,1,0,22,,,1.1692,0.4272
162,4137,3,True,1,True,1,21,0.0104,0.0639,0.0,0.6241,1,0,True,1,0,22,,,1.1425,0.4362
163,4137,4,True,1,True,1,21,0.0112,0.0648,0.0,0.6348,1,0,True,1,0,22,,,1.1607,0.4421
164,4146,3,True,1,True,1,21,0.0104,0.0635,0.0,0.6199,1,0,True,1,0,22,,,1.1694,0.4677
165,4146,4,True,1,True,1,21,0.0106,0.0649,0.0,0.6361,1,0,True,1,0,22,,,1.1598,0.4405
166,4148,3,False,1,False,1,10,0.0104,0.0667,0.0,0.287,0,0,True,1,2,27,,strict no-fallback: direct AI assignment did not detect fault,0.9539,0.5818
167,4148,4,False,1,False,1,10,0.0111,0.0658,0.0,0.2848,0,0,True,1,2,27,,strict no-fallback: direct AI assignment did not detect fault,0.9542,0.5845
168,4150,3,False,1,False,1,9,0.0105,0.0634,0.0,0.2512,0,0,True,1,2,27,,strict no-fallback: direct AI assignment did not detect fault,0.9336,0.6009
169,4150,4,False,1,False,1,9,0.0108,0.0653,0.0,0.2537,0,0,True,1,2,27,,strict no-fallback: direct AI assignment did not detect fault,0.9103,0.5727
170,4152,3,False,1,False,1,9,0.0105,0.065,0.0,0.2592,0,0,True,1,2,27,,strict no-fallback: direct AI assignment did not detect fault,0.9074,0.5649
171,4152,4,False,1,False,1,9,0.0114,0.0678,0.0,0.2539,0,0,True,1,2,27,,strict no-fallback: direct AI assignment did not detect fault,0.9183,0.5776
172,4154,3,False,1,False,1,9,0.011,0.064,0.0,0.2537,0,0,True,1,2,27,,strict no-fallback: direct AI assignment did not detect fault,0.9197,0.5834
173,4154,4,False,1,False,1,9,0.0104,0.0657,0.0,0.2516,0,0,True,1,2,27,,strict no-fallback: direct AI assignment did not detect fault,0.924,0.5882
174,4156,3,False,1,False,1,9,0.0105,0.0639,0.0,0.2611,0,0,True,1,2,28,,strict no-fallback: direct AI assignment did not detect fault,0.9497,0.6066
175,4156,4,False,1,False,1,9,0.0108,0.0636,0.0,0.2521,0,0,True,1,2,28,,strict no-fallback: direct AI assignment did not detect fault,0.9211,0.587
176,4158,3,True,1,True,1,21,0.0108,0.0639,0.0,0.6237,1,0,True,1,0,22,,,1.1513,0.4453
177,4158,4,True,1,True,1,21,0.0113,0.0644,0.0,0.6258,1,0,True,1,0,22,,,1.147,0.4378
178,4160,3,True,1,True,1,21,0.0107,0.0667,0.0,0.6278,1,0,True,1,0,22,,,1.1609,0.448
179,4160,4,True,1,True,1,21,0.0116,0.069,0.0,0.6174,1,0,True,1,0,22,,,1.1461,0.4403
180,4165,3,True,1,True,1,7,0.01,0.0652,0.0,0.191,1,0,True,1,0,8,,,0.4265,0.1527
181,4165,4,True,1,True,1,7,0.0102,0.0655,0.0,0.1878,1,0,True,1,0,8,,,0.425,0.1535
182,4168,3,True,1,True,1,21,0.0106,0.0646,0.0,0.6276,1,0,True,1,0,22,,,1.1588,0.4479
183,4168,4,True,1,True,1,21,0.0108,0.0662,0.0,0.6259,1,0,True,1,0,22,,,1.1407,0.43
184,4170,3,False,1,False,1,10,0.0103,0.0643,0.0,0.2847,0,0,True,1,0,22,,strict no-fallback: direct AI assignment did not detect fault,0.8023,0.4354
185,4170,4,False,1,False,1,10,0.0104,0.0609,0.0,0.2759,0,0,True,1,2,27,,strict no-fallback: direct AI assignment did not detect fault,0.9341,0.5795
186,4176,3,True,1,True,1,21,0.0109,0.0656,0.0,0.6259,1,0,True,1,0,22,,,1.1466,0.4366
187,4176,4,True,1,True,1,21,0.0105,0.0637,0.0,0.629,1,0,True,1,0,22,,,1.1485,0.4378
188,4178,3,True,1,True,1,21,0.0103,0.065,0.0,0.635,1,0,True,1,0,22,,,1.1573,0.4392
189,4178,4,True,1,True,1,21,0.0105,0.0637,0.0,0.634,1,0,True,1,0,22,,,1.1578,0.4416
190,4185,3,True,1,True,1,22,0.0149,0.0644,0.0,0.6149,1,0,True,1,0,23,,,1.1573,0.4552
191,4185,4,True,1,True,1,22,0.0147,0.0663,0.0,0.6134,1,0,True,1,0,22,,,1.1441,0.4414
192,4188,3,True,1,True,1,22,0.0152,0.0659,0.0,0.6229,1,0,True,1,0,23,,,1.1653,0.4531
193,4188,4,True,1,True,1,22,0.015,0.0651,0.0,0.61,1,0,True,1,0,22,,,1.1305,0.4327
194,4194,3,True,1,True,1,77,0.0098,0.0635,0.0,2.3819,1,0,True,1,0,78,,,4.0055,1.5425
195,4194,4,True,1,True,1,77,0.0105,0.0651,0.0,2.3877,1,0,True,1,0,78,,,4.0233,1.5518
196,4197,3,True,1,True,1,47,0.0102,0.0643,0.0,1.4493,1,0,True,1,0,48,,,2.5152,0.9839
197,4197,4,True,1,True,1,47,0.01,0.0637,0.0,1.4414,1,0,True,1,0,48,,,2.5055,0.9825
198,4199,3,True,1,True,1,17,0.01,0.0642,0.0,0.4872,1,0,True,1,0,18,,,0.969,0.3998
199,4199,4,True,1,True,1,17,0.011,0.0643,0.0,0.4898,1,0,True,1,0,18,,,0.9366,0.3637
200,4201,3,True,1,True,1,62,0.0101,0.0642,0.0,1.9075,1,0,True,1,0,63,,,3.2661,1.2762
201,4201,4,True,1,True,1,62,0.0103,0.0638,0.0,1.9071,1,0,True,1,0,63,,,3.249,1.2601
202,4203,3,False,1,False,1,3,0.0103,0.0642,0.0,0.063,0,0,True,1,0,9,,strict no-fallback: direct AI assignment did not detect fault,0.3306,0.1852
203,4203,4,False,1,False,1,3,0.0101,0.0646,0.0,0.0623,0,0,True,1,2,14,,strict no-fallback: direct AI assignment did not detect fault,0.4658,0.3211
